id,name,year,rank
1292701,Ghaedeye bazi,2007,4.2
3032780,Bending the Rules,2013,6.4
2381193,Ghafas,1974,6.0
1116774,Ghafele,1992,5.3
7985654,Little Heroes,2017,5.5
134671,Ghalandar,1972,5.7
438056,Canary,2004,7.8
5377360,The Big Appointment,1975,6.5
877628,Gharche sammi,2002,6.0
285139,Gharibaneh,1998,5.0
319450,Stranger,1972,6.4
2671388,Gharibeh,2012,4.3
71549,Stranger and the Fog,1976,7.1
6292924,The Oath,1975,4.4
9817044,The Oath,2019,6.3
6278960,Retaliation,1971,3.6
6205538,The Time I Came Back,2016,5.0
9750864,Castle of Dreams,2019,6.6
6068184,The Golden Palace,1969,6.6
338060,The Winter Song,2002,7.8
5888276,Domestic Killer,2017,4.3
9292266,Ghatle Online,2005,4.5
73041,Ghazal,1976,6.4
370590,Negligence,1954,4.0
64368,Gheisar,1969,7.7
6393532,Ghelghelak,2005,4.3
785000,Red,1999,6.4
3532916,Gheseye Eshghe Pedar,2013,5.2
2008523,Fairy Tale,2011,5.1
3526482,Tales,2014,7.0
343715,Story of Mahan,1973,5.2
1893243,Yalda Night Story,1970,5.4
197373,Tales of Kish,1999,5.7
8037658,Forbidden,2017,4.3
70105,Resurrection of Love,1973,6.3
1134580,The Locksmith,2007,6.8
3511928,Gholam,2017,5.6
1111902,Gholam zhandarm,1971,5.2
9870726,Gholamreza Takhti,2019,6.8
4224072,Ghoul,1973,5.0
1933585,The Sacrifice,1993,4.7
450428,Gilane,2005,6.7
6298634,Gilda,2017,3.7
3586582,Gingko: the Suspended Narrative,2014,5.6
1797391,Gis Borideh,2006,3.8
5423636,Gita,2016,5.5
6218740,Giti's Problem,2016,3.3
4501084,Gohar Kheirandish a Filmography,2015,7.2
762100,Full or Empty,2005,7.0
780032,The Rose,1990,5.4
498802,Ice Flower,2005,4.0
1949544,Golchehreh,2011,7.3
9643092,Gold Carrier,2018,5.2
9354450,Golden Time,2017,7.2
1948564,Flowers and bullets,1992,2.9
122091,Golhaye Davoudi,1985,5.6
780033,Golnar,1989,6.4
343732,Golnesa,1953,4.6
7606902,Golnesa,2018,7.5
11388224,Golpari joon,1974,4.7
